Spaceship_Model,Lightyears_Traveled,Type_of_Propulsion,Spacecraft_Maintenance_Contract,Crew_Capacity,Energy_Source,Registration_Code,Galactic_Credits,Downpayment_20_Percent,Downpayment_20_Percent_24_Months,Features_Description,Current_Damages,Modifications,Enchancements,Overheating,Core_Reactor_Anomalies,Power_Cell_Replacement,Viewports_Front_Left,Viewports_Front_Right,Viewports_Rear_Left,Viewports_Rear_Right,Transparent_Armor_Windshield,Transparent_Armor_Backshield,Side_Visual_Enhancer_Lens,Navigation_Lights_Front_Left,Navigation_Lights_Front_Right,Navigation_Lights_Rear_Left,Navigation_Lights_Rear_Right,Atmospheric_Scanner_Lamps,Deceleration_Indicators,Plasma_Thruster_Front_Left_Lifespan,Plasma_Thruster_Front_Right_Lifespan,Plasma_Thruster_Rear_Left_Lifespan,Plasma_Thruster_Rear_Right_Lifespan,Backup_Thruster_Lifespan,Backup_Thruster_Condition,Hatch_Controls_Front_Left,Hatch_Controls_Front_Right,Hatch_Controls_Rear_Left,Hatch_Controls_Rear_Right,Cargo_Bay_Hatch_Controls,Interior_Fabric_Condition,Control_Panel_Condition,Control_Panel_Lights,Audio_System_Condition,Speaker_Condition,Energy_Port_Condition,Climate_Control_Efficiency,Ventilation_System_Strength,Drive_and_Engine_Condition_Hard_Start,Propulsion_Shift_Delay,Unusual_Spacecraft_Sounds,Source_of_Unusual_Sounds,Maneuverability,Shield_Response_Time,Hull_Integrity,Plasma_Leak,Coolant_Level,Brake_Fluid_Level,Plasma_Color,Plasma_Flux_Viscosity
Nebula Voyager,10.6K Lightyears,Warp Drive,Interstellar Maintenance Agreement,7 Crew Members,Antimatter,SPC-XXXX4,"CR890,000 Credits","₱259,880.00","₱40,524.67","Toyota Rush 1.5 G
Automatic
7-8 seaters
Low mileage",No Damage,No Damage,No Damage,Worn Out,No Damage,No Damage,Operational,Worn Out,No Damage,No Damage,No Damage,No Damage,No Damage,Malfunctioning,No Damage,No Damage,No Damage,No Damage,No Damage,80%,80%,80%,80%,Without,,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Quantum Falcon,35.1K Lightyears,Warp Drive,Interstellar Maintenance Agreement,5 Crew Members,Antimatter,SPC-XXXX7,"CR720,000 Credits","₱210,240.00","₱32,784.00",,No Damage,No Damage,No Damage,No Damage,No Damage,Heavy Damage,Leaking,No Damage,No Damage,No Damage,Minor Cracks,No Damage,Operational,Flickering,No Damage,Minor Cracks,Deteriorated,No Damage,Leaking,80%,80%,80%,80%,Without,,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Fair,Fair,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Starblade,43.3K Lightyears,Warp Drive,Interstellar Maintenance Agreement,5 Crew Members,Antimatter,SPC-XXXX1,"CR900,000 Credits","₱262,800.00","₱40,980.00","Negotiable
5 Seater Car
Well-Maintained
Good Mileage
No Major Engine Repair
No Major Body Repair
OR / CR Included
None Pending Apprehension",No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,Leaking,Malfunctioning,No Damage,No Damage,No Damage,No Damage,No Damage,90-100%,90-100%,90-100%,90-100%,With,80%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Excellent,Excellent,No,No,No,,Advanced Maneuverability,Advanced Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Cosmic Raptor,90K Lightyears,Warp Drive,Interstellar Maintenance Agreement,7 Crew Members,Dark Matter,SPC-XXXX2,"CR788,000 Credits","₱230,096.00","₱35,880.27",2013 TOYOTA FORTUNER #2050152,No Damage,No Damage,Replacement Needed,No Damage,Worn Out,Leaking,No Damage,No Damage,No Damage,No Damage,No Damage,Partial Failure,No Damage,Heavy Damage,No Damage,Partial Failure,No Damage,Functional,No Damage,80%,80%,80%,80%,With,80%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Eclipse Runner,100K Lightyears,Warp Drive,Interstellar Maintenance Agreement,5 Crew Members,Antimatter,SPC-XXXX6,"CR230,000 Credits","₱67,160.00","₱10,472.67","2010 HONDA CITY							
#NQW556",No Damage,No Damage,Functional,No Damage,No Damage,No Damage,No Damage,No Damage,Functional,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,Functional,No Damage,80%,80%,80%,80%,With,80%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Orion Striker,100K Lightyears,Warp Drive,Interstellar Maintenance Agreement,5 Crew Members,Antimatter,SPC-XXXX1,"CR440,000 Credits","₱128,480.00","₱20,034.67",2019 Toyota Wigo G Automatic,No Damage,No Damage,No Damage,No Damage,No Damage,Heavy Damage,Worn Out,No Damage,No Damage,Heavy Damage,Partial Failure,No Damage,No Damage,Heavy Damage,No Damage,Fractured,No Damage,No Damage,No Damage,80%,80%,80%,80%,With,80%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Galactic Nomad,100K Lightyears,Warp Drive,Interstellar Maintenance Agreement,7 Crew Members,Dark Matter,SPC-XXXX4,"CR850,000 Credits","₱248,200.00","₱38,703.33","2018 Toyota Innova E Diesel Automatic
7 seaters",Functional,No Damage,Functional,No Damage,Minor Cracks,Overheating,No Damage,No Damage,Flickering,Flickering,No Damage,No Damage,Leaking,No Damage,Fractured,Fractured,No Damage,No Damage,Overheating,50%,50%,50%,50%,With,50%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Lunar Phantom,100K Lightyears,Warp Drive,Interstellar Maintenance Agreement,7 Crew Members,Dark Matter,SPC-XXXX1,"CR840,000 Credits","₱245,280.00","₱38,248.00","2018 Toyota Innova E Diesel Automatic
7 Seaters",Leaking,No Damage,No Damage,Operational,No Damage,No Damage,Partial Failure,No Damage,No Damage,No Damage,No Damage,Overheating,No Damage,Leaking,No Damage,No Damage,No Damage,No Damage,No Damage,50%,50%,50%,50%,With,50%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Astro Serpent,100K Lightyears,Warp Drive,Interstellar Maintenance Agreement,0 Crew Members,Dark Matter,SPC-XXXX7,"CR940,000 Credits","₱274,480.00","₱42,801.33",2019 Nissan Terra Automatic,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,Minor Cracks,Flickering,Fractured,No Damage,No Damage,No Damage,Functional,No Damage,Replacement Needed,No Damage,Malfunctioning,No Damage,50%,50%,50%,50%,With,50%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Celestial Wanderer,70K Lightyears,Warp Drive,Interstellar Maintenance Agreement,5 Crew Members,Antimatter,SPC-XXXX9,"CR440,000 Credits","₱128,480.00","₱20,034.67",2016 Toyota Wigo A/T,No Damage,No Damage,Heavy Damage,No Damage,No Damage,Fractured,Malfunctioning,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,Partial Failure,No Damage,Leaking,80%,80%,80%,80%,With,80%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Stellar Horizon,60K Lightyears,Warp Drive,Interstellar Maintenance Agreement,5 Crew Members,Antimatter,SPC-XXXX7,"CR1,090,000 Credits","₱318,280.00","₱49,631.33",2019 Mazda CX5 A/T,No Damage,No Damage,No Damage,No Damage,No Damage,Flickering,No Damage,Heavy Damage,No Damage,Minor Cracks,No Damage,No Damage,Partial Failure,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,80%,80%,80%,80%,With,80%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Meteorite Fury,100K Lightyears,Warp Drive,Interstellar Maintenance Agreement,8 Crew Members,Antimatter,SPC-XXXX5,"CR1,090,000 Credits","₱318,280.00","₱49,631.33",2018 Toyota Fortuner G A/T,No Damage,No Damage,Malfunctioning,No Damage,Leaking,Functional,No Damage,Overheating,No Damage,No Damage,No Damage,No Damage,Functional,No Damage,No Damage,No Damage,No Damage,No Damage,Partial Failure,80%,80%,80%,80%,With,80%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Solar Wind,60K Lightyears,Warp Drive,Interstellar Maintenance Agreement,8 Crew Members,Dark Matter,SPC-XXXX9,"CR1,090,000 Credits","₱318,280.00","₱49,631.33",2017 Toyota Fortuner G DSL A/T,Overheating,No Damage,No Damage,No Damage,No Damage,No Damage,Functional,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,Fractured,No Damage,80%,80%,80%,80%,With,80%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Phoenix Wing,100K Lightyears,Warp Drive,Interstellar Maintenance Agreement,8 Crew Members,Dark Matter,SPC-XXXX0,"CR1,090,000 Credits","₱318,280.00","₱49,631.33",2018 Honda CRV V DSL A/T,No Damage,Heavy Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,Worn Out,Leaking,Flickering,No Damage,No Damage,No Damage,No Damage,Functional,No Damage,Malfunctioning,Replacement Needed,80%,80%,80%,80%,With,80%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Nebula Phantom,100K Lightyears,Warp Drive,Interstellar Maintenance Agreement,8 Crew Members,Antimatter,SPC-XXXX3,"CR440,000 Credits","₱128,480.00","₱20,034.67",2014 Nissan Grand Livina AT,Malfunctioning,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,Partial Failure,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,Leaking,No Damage,No Damage,80%,80%,80%,80%,With,80%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Comet Blazer,70K Lightyears,Quantum Thrusters,Interstellar Maintenance Agreement,8 Crew Members,Antimatter,SPC-XXXX4,"CR690,000 Credits","₱201,480.00","₱31,418.00",2017 Toyota Innova Manual,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,Functional,No Damage,No Damage,Flickering,Malfunctioning,No Damage,No Damage,Fractured,Operational,No Damage,No Damage,90-100%,90-100%,90-100%,90-100%,With,90-100%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Good,Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Vortex Charger,71K Lightyears,Warp Drive,Interstellar Maintenance Agreement,5 Crew Members,Antimatter,SPC-XXXX3,"CR890,000 Credits","₱259,880.00","₱40,524.67",,No Damage,Heavy Damage,No Damage,No Damage,Worn Out,No Damage,Fractured,No Damage,Operational,Replacement Needed,No Damage,No Damage,No Damage,No Damage,No Damage,Operational,No Damage,No Damage,Deteriorated,90-100%,90-100%,90-100%,90-100%,Without,,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Fair,Fair,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Nebula Serpent,91K Lightyears,Warp Drive,Interstellar Maintenance Agreement,5 Crew Members,Antimatter,SPC-XXXX2,"CR410,000 Credits","₱119,720.00","₱18,668.67","Negotiable
5 Seater Car
Well-Maintained
Good Mileage
No Major Engine Repair
No Major Body Repair
OR / CR Included
None Pending Apprehension",No Damage,No Damage,No Damage,Overheating,No Damage,No Damage,No Damage,No Damage,No Damage,Worn Out,No Damage,No Damage,No Damage,Minor Cracks,No Damage,Minor Cracks,No Damage,No Damage,No Damage,90-100%,90-100%,90-100%,90-100%,With,80%,Good,Good,Good,Good,Good,Leather,Digital,Good,Functional/Original,Functional/Original,Good,Excellent,Excellent,No,No,No,,Advanced Maneuverability,Advanced Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
Aurora Racer,149.6K Lightyears,Warp Drive,Interstellar Maintenance Agreement,5 Crew Members,Dark Matter,SPC-XXXX6,"CR845,000 Credits","₱246,740.00","₱38,475.67","Negotiable
5 Seater Car
First Owner
Well-Maintained
Good Mileage
No Major Engine Repair
No Major Body Repair
OR / CR Included
None Pending Apprehension",No Damage,No Damage,No Damage,No Damage,Heavy Damage,No Damage,No Damage,Minor Cracks,No Damage,Flickering,No Damage,Overheating,Flickering,No Damage,No Damage,No Damage,No Damage,No Damage,No Damage,50%,50%,50%,50%,With,50%,Good,Good,Good,Good,Good,Fabric,Rotary,Good,Functional/Original,Functional/Original,Good,Very Good,Very Good,No,No,No,,Standard Maneuverability,Standard Shield Response,Intact,No Leak,Maximum,Maximum,Yellow,Thin
